"Id","Name","Requirement"
"100006","Abbot","sabbat"
"100010","Abomination","non-sterile"
"100011","Absimiliard's Army","1 Gehenna"
"100012","Absolution of the Diabolist","justicar,inner circle"
"100022","Adhocracy","anarch"
"100038","Alastor","justicar,inner circle"
"100039","Alia, God's Messenger","2 Gehenna"
"100052","Anarch Free Press, The","anarch"
"100056","Anarch Salon","anarch"
"100057","Anarch Secession","non-anarch,titled"
"100060","Anathema","prince,justicar"
"100062","Ancestor's Insight","laibon"
"100067","Angel of Berlin","imbued"
"100078","Approximation of Loyalty","capacity 7 or more"
"100084","Archon","prince,justicar"
"100097","Art of Memory, The","black hand"
"100109","Atonement","capacity 5 or less"
"100116","Auto-da-fé","cardinal,regent,inquisitor"
"102218","Bait and Switch","baron"
"100129","Bamba","laibon,non-sterile,capacity 4 or more"
"100132","Banner of Neutrality","Independent,anarch"
"100144","Bear-Baiting","anarch"
"100147","Becoming, The","non-sterile"
"100148","Becoming of Ennoia","2 Gehenna"
"100150","Belonging Grants Protection","magaji"
"100153","Bestial Vengeance","laibon"
"100158","Beyond Reproach","prince"
"100165","Black Forest Base","sabbat"
"100167","Black Hand Emissary","seraph"
"100168","Black Hand Ritual","black hand"
"100174","Blade Clot","anarch"
"100198","Blood Cult Awareness Network","imbued"
"100200","Blood Feast","archbishop,priscus,cardinal,regent"
"100202","Blood Hunt","prince,justicar"
"100206","Blood of the Sabbat","archbishop,priscus,cardinal,regent"
"100210","Blood Siege","archbishop,priscus,cardinal,regent"
"100216","Blood Turnip","anarch"
"100218","Bloodbath","archbishop,priscus,cardinal,regent"
"100220","Blooding","sabbat"
"100225","Bloodwork","black hand"
"100232","Bollix","anarch"
"100240","Border Skirmish","anarch"
"100256","Brother in Arms","non-sterile,capacity 3 or more"
"100257","Brother's Blood","same circle"
"100284","Camarilla Exemplary","camarilla"
"100293","Car Bomb","anarch"
"100294","Cardinal Benediction","sabbat"
"100295","Cardinal Sin: Failure of Mission","archbishop,cardinal,regent"
"100296","Cardinal Sin: Insubordination","archbishop,priscus,cardinal,regent"
"100297","Carfax Abbey","anarch"
"100319","Chalice of Kinship","priscus,cardinal,regent"
"100320","Chameleon","baron"
"100337","Cheval de Bataille","sabbat,titled"
"102246","Childe of the Revolution","non-sterile,baron"
"100346","Chronicle of the Lost Tribe","black hand"
"100347","Church of the Order of St. Blaise","sabbat"
"100348","Church of Vindicated Faith, The","imbued"
"100350","Circumspect Revelation","black hand"
"100352","Claiming the Body","same circle"
"100355","Clandestine Contract","capacity 5 or more"
"100360","Cloak of Blood","capacity 6 or more"
"100364","Closed Session","prince,justicar,inner circle"
"100371","Code of Milan Suspended","sabbat"
"100382","Command of the Harpies","camarilla"
"100387","Community Justice","Independent,anarch"
"100409","Conquest of Humanity","2 Gehenna"
"100413","Consecration Rites","archbishop,priscus,cardinal,regent"
"100416","Constant Revolution","anarch"
"100418","Contagion","infernal"
"100423","Coordinate Attacks","same circle"
"100431","Corruption's Purge","prince,justicar,inner circle"
"100433","Council of Seraphim","seraph"
"100436","Covenant of Blood","non-camarilla,capacity 8 or more"
"100440","Create Gargoyle","non-sterile"
"100441","Creation Rites","archbishop,priscus,cardinal,regent,non-sterile"
"100446","CrimethInc.","anarch"
"100451","Crusade: Amsterdam","sabbat"
"100452","Crusade: Aragon","sabbat"
"100453","Crusade: Atlanta","sabbat"
"100454","Crusade: Barcelona","sabbat"
"100455","Crusade: Berlin","sabbat"
"100456","Crusade: Brussels","sabbat"
"100457","Crusade: Chicago","sabbat"
"100458","Crusade: Detroit","sabbat"
"100459","Crusade: Dublin","sabbat"
"100460","Crusade: Frankfurt","sabbat"
"100461","Crusade: Geneva","sabbat"
"100462","Crusade: Houston","sabbat"
"100463","Crusade: Istanbul","sabbat"
"100464","Crusade: London","sabbat"
"100465","Crusade: Mexico City","sabbat"
"100466","Crusade: Miami","sabbat"
"100467","Crusade: New York","sabbat"
"100468","Crusade: Paris","sabbat"
"100469","Crusade: Philadelphia","sabbat"
"100470","Crusade: Pittsburgh","sabbat"
"100471","Crusade: Rome","sabbat"
"100472","Crusade: Toronto","sabbat"
"100473","Crusade: Washington, D.C.","sabbat"
"100475","Cry Wolf","anarch"
"100476","Crypt's Sons","anarch"
